PROJECT                       VIEW                                   LOOKUP  ORTHO  DB_LOOKUP_TABLE       
----------------------------  -------------------------------------  ------  -----  ----------------------
efp                           atgenexp                               1       —      at_agi_lookup         
efp                           atgenexp_plus                          1       —      at_agi_lookup         
efp                           seed_db                                1       —      at_agi_lookup         
efp                           atgenexp_hormone                       1       —      at_agi_lookup         
efp                           light_series                           1       —      at_agi_lookup         
efp                           arabidopsis_ecotypes                   1       —      at_agi_lookup         
efp                           root                                   1       —      at_agi_lookup         
efp                           atgenexp_stress                        1       —      at_agi_lookup         
efp                           atgenexp_pathogen                      1       —      at_agi_lookup         
efp                           guard_cell                             1       —      at_agi_lookup         
efp                           atTax                                  1       —      at_agi_lookup         
efp                           meristem_db                            1       —      at_agi_lookup         
efp                           lateral_root_initiation                1       —      at_agi_lookup         
efp                           shoot_apex                             0       —      at_agi_lookup         
efp                           klepikova                              0       —      at_agi_lookup         
efp                           germination                            0       —      at_agi_lookup         
efp                           gynoecium                              0       —      at_agi_lookup         
efp                           embryo                                 0       —      at_agi_lookup         
efp                           silique                                0       —      at_agi_lookup         
efp                           single_cell                            0       —      at_agi_lookup         
efp                           dna_damage                             0       —      at_agi_lookup         

efp_Eutrema                   thellungiella_db                       1       yes    tsa_arabidopsis_lookup

efp_actinidia                 actinidia_bud_development              0       —      —                     
efp_actinidia                 actinidia_flower_fruit_development     0       —      —                     
efp_actinidia                 actinidia_postharvest                  0       —      —                     
efp_actinidia                 actinidia_vegetative_growth            0       —      —                     

efp_apple                     apple                                  0       —      —                     

efp_arabidopsis               atgenexp                               1       —      at_agi_lookup         
efp_arabidopsis               atgenexp_plus                          1       —      at_agi_lookup         
efp_arabidopsis               seed_db                                1       —      at_agi_lookup         
efp_arabidopsis               atgenexp_hormone                       1       —      at_agi_lookup         
efp_arabidopsis               light_series                           1       —      at_agi_lookup         
efp_arabidopsis               arabidopsis_ecotypes                   1       —      at_agi_lookup         
efp_arabidopsis               root                                   1       —      at_agi_lookup         
efp_arabidopsis               atgenexp_stress                        1       —      at_agi_lookup         
efp_arabidopsis               atgenexp_pathogen                      1       —      at_agi_lookup         
efp_arabidopsis               guard_cell                             1       —      at_agi_lookup         
efp_arabidopsis               atTax                                  1       —      at_agi_lookup         
efp_arabidopsis               meristem_db                            1       —      at_agi_lookup         
efp_arabidopsis               lateral_root_initiation                1       —      at_agi_lookup         
efp_arabidopsis               shoot_apex                             0       —      at_agi_lookup         
efp_arabidopsis               klepikova                              0       —      at_agi_lookup         
efp_arabidopsis               germination                            0       —      at_agi_lookup         
efp_arabidopsis               gynoecium                              0       —      at_agi_lookup         
efp_arabidopsis               embryo                                 0       —      at_agi_lookup         
efp_arabidopsis               silique                                0       —      at_agi_lookup         
efp_arabidopsis               single_cell                            0       —      at_agi_lookup         
efp_arabidopsis               dna_damage                             0       —      at_agi_lookup         

efp_arabidopsis_lipid         lipid_map                              1       —      —                     

efp_arachis                   arachis                                0       —      —                     

