db,species,platform,source,in_dropdown,regex_project,resolved_via,efp_frontends,eplant_frontends,n_frontends,n_views,views,regex
actinidia_bud_development,actinidia,rna_seq,efp,yes,efp_actinidia,efp-frontend,efp_actinidia,,1,1,efp_actinidia: Bud Development,"^(Acc\d+\.\d{0,3})$"
actinidia_flower_fruit_development,actinidia,rna_seq,efp,yes,efp_actinidia,efp-frontend,efp_actinidia,,1,1,efp_actinidia: Flower Fruit Development,"^(Acc\d+\.\d{0,3})$"
actinidia_postharvest,actinidia,rna_seq,efp,yes,efp_actinidia,efp-frontend,efp_actinidia,,1,1,efp_actinidia: Postharvest,"^(Acc\d+\.\d{0,3})$"
actinidia_vegetative_growth,actinidia,rna_seq,efp,yes,efp_actinidia,efp-frontend,efp_actinidia,,1,1,efp_actinidia: Vegetative Growth,"^(Acc\d+\.\d{0,3})$"
apple,apple,rna_seq,efp,yes,efp_apple,efp-frontend,efp_apple,,1,1,efp_apple: Developmental Map,"^(MfusH1_\d\dg\d{1,8})$"
affydb,arabidopsis,microarray,legacy_not_in_dropdown,no,efp_arabidopsis,species-fallback,,,0,0,,"^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
arabidopsis_ecotypes,arabidopsis,microarray,efp,yes,efp_arabidopsis,efp-frontend,efp_arabidopsis,,1,1,efp_arabidopsis: Natural Variation,"^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
atgenexp,arabidopsis,microarray,efp,yes,efp_arabidopsis,efp-frontend,efp_arabidopsis,,1,1,efp_arabidopsis: Development RMA,"^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
atgenexp_hormone,arabidopsis,microarray,both,yes,efp_arabidopsis,efp-frontend,efp_arabidopsis,eplant_arabidopsis,2,3,"efp_arabidopsis: Chemical, Hormone | eplant_arabidopsis: Chemical","^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
atgenexp_pathogen,arabidopsis,microarray,both,yes,efp_arabidopsis,efp-frontend,efp_arabidopsis,eplant_arabidopsis,2,10,"efp_arabidopsis: Biotic Stress, Biotic Stress II | eplant_arabidopsis: Biotic Stress Botrytis cinerea, Biotic Stress Elicitors, Biotic Stress Erysiphe orontii, Biotic Stress Hyaloperonospora arabidopsidis, Biotic Stress Myzus persicaere, Biotic Stress Phytophthora infestans, Biotic Stress Pseudomonas syringae, Biotic Stress Golovinomyces orontii","^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
