efp_project,regex
efp,"^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
efp_Eutrema,^(Thhalv[0-9]{8}m\.g)$|^(XLOC_[0-9]{6})$|^(nXLOC_[0-9]{6})$|^(At[0-9]g[0-9]{5})$
efp_actinidia,"^(Acc\d+\.\d{0,3})$"
efp_apple,"^(MfusH1_\d\dg\d{1,8})$"
efp_arabidopsis,"^([Aa][Tt][12345CM][Gg][0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(AFFX-[A-Za-z0-9_-]+(_|_x_|_s_)?at)$"
efp_arabidopsis_lipid,"(?i)^[a-z0-9\s:;\/\[\]_\+\-]{1,64}$"
efp_arachis,^(Adur\d+_comp\d+_c\d+_seq\d+)$|^(Gyn_Aipa_c\d+_g\d+_i\d+)$|^(Aipa\d+_comp\d+_c\d+_seq\d+)$|^(Gyn_Adur_c\d+_g\d+_i\d+)$
efp_barley,"^((HM|HV).*)$|^(HORVU[\w.]+)$|^(MLOC\.[0-9]{4,6}\.[0-9]{1,2})$|^(A[JK][0-9]{6}\.[0-9])$|^([0-9-]+_(Reg|R)_[0-9-]+(_x_|_s_|_)?at)$|^([0-9-]+\.AF[0-9]+(_x_|_s_|_)?at)$|^(A[0-9]{5}\.[0-9](_x_|_s_|_)?at)$|^([A-Z]{2}[0-9]{6}(\.[0-9])?(_CDS-[0-9]{1,2})?(_x_|_s_|_)?at)$|^(AFFX-[A-Za-z0-9_/-]+(_x_|_s_|_)?at)$|^((Chlor|Mito)?Contig[0-9]{1,6}(_(3|5|M))?(_x_|_s_|_)?at)$|^(D[0-9]{5}(_x_|_s_|_)?at)$|^(Dhn[0-9]{2}\(Morex\)(_x_|_s_|_)?at)$|^(E[A-Za-z]{3}[0-9]{2}_SQ[0-9]{3}_[A-Z][0-9]{2}[a-z]?(_x_|_s_|_)?at)$|^(Franka(_b_|_)3pri[0-9]{1,2}(_x_|_s_|_)?at)$|^(H[A-Z][0-9]{1,4}[A-Z][0-9]{1,2}[a-z]?(_x_|_s_|_)?at)$|^(Mla[A-Za-z0-9_-]+at)$|^(S[0-9]{10}[A-Z][0-9]{2}[A-Z][0-9](_x_|_s_|_)?at)$|^((b|rb)(aak|aal|ags|ah|asd)[0-9]{1,2}[a-z][0-9]{2}(_x_|_s_|_)?at)$|^(HO)$"
efp_brachypodium,^(Bradi[0-9]+g[0-9]+(\.[0-9]+)?)$|^(Bradi[0-9]+s[0-9]+(\.[0-9]+)?)$|^(Bradi[0-9]+\.g[0-9]+)$
efp_brachypodium_metabolites,"(?i)^[a-z\s\-]{1,60}$"
