database,source,in_master_list,has_species_mapping,has_efp_project_override,n_samples,n_pass,n_fail,looks_like_probeset,failing_ids
actinidia_bud_development,efp,True,True,False,30,30,0,False,
actinidia_flower_fruit_development,efp,True,True,False,30,30,0,False,
actinidia_postharvest,efp,True,True,False,30,30,0,False,
actinidia_vegetative_growth,efp,True,True,False,30,30,0,False,
affydb,legacy_not_in_dropdown,False,True,True,30,30,0,True,
apple,efp,True,True,False,30,30,0,False,
arabidopsis_ecotypes,efp,True,True,True,30,30,0,True,
arachis,efp,True,True,True,30,30,0,False,
atgenexp,efp,True,True,True,30,30,0,True,
atgenexp_hormone,both,True,True,True,30,30,0,True,
atgenexp_pathogen,both,True,True,True,30,30,0,True,
atgenexp_plus,both,True,True,True,30,30,0,True,
atgenexp_stress,both,True,True,True,30,30,0,True,
barley_mas,efp,True,True,True,30,30,0,True,
barley_rma,efp,True,True,True,30,30,0,True,
barley_seed,eplant,True,True,False,30,30,0,False,
barley_spike_meristem,eplant,True,True,False,30,30,0,False,
barley_spike_meristem_v3,eplant,True,True,False,30,30,0,False,
brachypodium,efp,True,True,False,30,30,0,False,
brachypodium_Bd21,efp,True,True,False,30,30,0,False,
brachypodium_embryogenesis,legacy_not_in_dropdown,False,True,False,30,30,0,False,
brachypodium_grains,efp,True,True,False,30,30,0,False,
brachypodium_metabolites_map,efp,True,True,True,20,20,0,False,
brachypodium_photo_thermocycle,efp,True,True,False,30,30,0,False,
brassica_rapa,efp,True,True,False,30,30,0,False,
brassica_rapa_developmental_atlas,legacy_not_in_dropdown,False,True,False,30,30,0,False,
cacao_developmental_atlas,efp,True,True,False,30,30,0,False,
cacao_developmental_atlas_sca,efp,True,True,False,30,30,0,False,
cacao_drought_diurnal_atlas,efp,True,True,False,30,30,0,False,
cacao_drought_diurnal_atlas_sca,efp,True,True,False,30,30,0,False,
cacao_infection,efp,True,True,False,30,30,0,False,
cacao_leaf,efp,True,True,False,30,30,0,False,
cacao_meristem_atlas_sca,efp,True,True,False,30,30,0,False,
cacao_seed_atlas_sca,efp,True,True,False,30,30,0,False,
camelina,both,True,True,False,30,30,0,False,
camelina_tpm,efp,True,True,False,30,30,0,False,
cannabis,both,True,True,False,30,30,0,False,
canola,legacy_not_in_dropdown,False,True,False,30,30,0,False,
canola_original,legacy_not_in_dropdown,False,True,False,30,30,0,False,
canola_original_v2,legacy_not_in_dropdown,False,True,False,30,30,0,False,
canola_seed,efp,True,True,True,30,30,0,False,
cassava_atlas,legacy_not_in_dropdown,False,True,False,30,30,0,False,
cassava_cbb,legacy_not_in_dropdown,False,True,False,30,30,0,False,
cassava_eacmv,legacy_not_in_dropdown,False,True,False,30,30,0,False,
circadian_mutants,legacy_not_in_dropdown,False,True,False,30,30,0,False,
cuscuta,legacy_not_in_dropdown,False,True,False,30,30,0,False,
cuscuta_early_haustoriogenesis,legacy_not_in_dropdown,False,True,False,30,30,0,False,
cuscuta_lmd,legacy_not_in_dropdown,False,True,False,30,30,0,False,
dna_damage,both,True,True,False,30,30,0,False,
durum_wheat_abiotic_stress,efp,True,True,False,30,30,0,False,
durum_wheat_biotic_stress,efp,True,True,False,30,30,0,False,
durum_wheat_development,efp,True,True,False,30,30,0,False,
embryo,efp,True,True,False,30,30,0,False,
eucalyptus,eplant,True,True,False,30,30,0,False,
euphorbia,efp,True,True,False,30,30,0,False,
gc_drought,eplant,True,True,False,30,30,0,False,
germination,both,True,True,False,30,30,0,False,
grape_developmental,efp,True,True,False,30,30,0,False,
guard_cell,both,True,True,True,30,30,0,True,
gynoecium,efp,True,True,False,30,30,0,False,
heterodera_schachtii,eplant,True,True,False,30,30,0,False,
hnahal,legacy_not_in_dropdown,False,True,True,30,30,0,True,
human_body_map_2,efp,True,True,False,30,30,0,False,
human_developmental,efp,True,True,True,30,30,0,True,
human_developmental_SpongeLab,legacy_not_in_dropdown,False,True,True,11,11,0,True,
human_diseased,legacy_not_in_dropdown,False,True,True,30,30,0,True,
kalanchoe,efp,True,True,False,30,30,0,False,
kalanchoe_time_course_analysis,legacy_not_in_dropdown,False,True,False,30,30,0,False,
klepikova,both,True,True,False,30,30,0,False,
lateral_root_initiation,efp,True,True,True,30,30,0,True,
light_series,efp,True,True,True,30,30,0,True,
lipid_map,efp,True,True,True,30,30,0,False,
little_millet,efp,True,True,False,30,30,0,False,
lupin_lcm_leaf,efp,True,True,False,30,30,0,False,
