source,project,validator_key,example_gene_id,result
efp,efp_actinidia,efp_actinidia,Acc00001.1,PASS
efp,efp_apple,efp_apple,MfusH1_01g00006,PASS
efp,efp_arabidopsis,efp_arabidopsis,At1g01010,PASS
efp,efp_arabidopsis_cell,efp_arabidopsis_cell,,NO_EXAMPLE_FOUND
efp,efp_arabidopsis_lipid,efp_arabidopsis_lipid,,NO_EXAMPLE_FOUND
efp,efp_arabidopsis_seedcoat,efp_seedcoat,At1g17665,PASS
efp,efp_arachis,efp_arachis,Adur10000_comp0_c0_seq1,PASS
efp,efp_barley,efp_barley,Contig3045_at,PASS
efp,efp_brachypodium,efp_brachypodium,Bradi4g05940.1,PASS
efp,efp_brachypodium_metabolites,efp_brachypodium_metabolites,,NO_EXAMPLE_FOUND
efp,efp_brassica_rapa,efp_brassica_rapa,BraA01g000010,PASS
efp,efp_cacao_ccn,efp_cacao_ccn,CCN-51_Chr0v1_20099,PASS
efp,efp_cacao_sca,efp_cacao_sca,SCA-6_Chr1v1_00001,PASS
efp,efp_cacao_tc,efp_cacao_tc,Tc01v2_g000010,PASS
efp,efp_camelina,efp_camelina,Csa00382s010.1,PASS
efp,efp_cannabis,efp_cannabis,AGQN03000001,PASS
efp,efp_canola,efp_canola,BnaA01g00010D,PASS
efp,efp_durum_wheat,efp_durum_wheat,TrturSVE1A02G00000070,PASS
efp,efp_euphorbia,efp_euphorbia,Ep_chr1_g00001,PASS
efp,efp_eutrema,efp_eutrema,Thhalv10000089m.g,PASS
efp,efp_grape,efp_grape,VIT_00s0120g00060,PASS
efp,efp_human,efp_human,,FETCH_ERROR: 403 Client Error: Forbidden for url: https://bar.utoronto.ca/efp_human/cgi-bin/efpWeb.cgi
efp,efp_kalanchoe,efp_kalanchoe,Kaladp0001s0001,PASS
efp,efp_little_millet,efp_little_millet,TRINITY_DN0_c0_g1_i15,PASS
efp,efp_lupin,efp_lupin,Luan_Oskar_Trin_282785,PASS
efp,efp_maize,efp_maize,Zm00001d046170,PASS
efp,efp_maize_enzyme,efp_maize_enzyme,,NO_EXAMPLE_FOUND
efp,efp_maize_metabolite,efp_maize_metabolite,,NO_EXAMPLE_FOUND
efp,efp_mangosteen,efp_mangosteen,DN1,PASS
efp,efp_marchantia,efp_marchantia,Mp1g00010,PASS
efp,efp_medicago,efp_medicago,Medtr1g102430,PASS
efp,efp_mouse,mouse_efp,XM_122026.1,PASS
efp,efp_oat,efp_oat,N0.HOG0015560,PASS
efp,efp_phelipanche,efp_phelipanche,OrAeBC5_10.1,PASS
efp,efp_physcomitrella,efp_physcomitrella,Pp1s103_79V6.1,PASS
efp,efp_poplar,efp_poplar,PtpAffx.200227.1.S1_s_at,PASS
efp,efp_potato,efp_potato,PGSC0003DMG400000005,PASS
efp,efp_rice,efp_rice,LOC_Os01g01080,PASS
efp,efp_rice_metabolite,efp_rice_metabolite,,NO_EXAMPLE_FOUND
efp,efp_selaginella,efp_selaginella,Smo402070,PASS
efp,efp_sorghum,efp_sorghum,Sobic.001G000100,PASS
efp,efp_soybean,efp_soybean,Glyma06g47400,PASS
efp,efp_strawberry,efp_strawberry,FvH4_1g00010,PASS
efp,efp_striga,efp_striga,StHeBC3_1.1,PASS
efp,efp_tomato,efp_tomato,Solyc04g014530,PASS
efp,efp_triphysaria,efp_triphysaria,TrVeBC3_1.1,PASS
efp,efp_triticale,efp_triticale,Ta.10026.1.A1_at,PASS
efp,efp_tung_tree,efp_tung_tree,Vf03G1621,PASS
efp,efp_wheat,efp_wheat,TraesCS1A01G000100,PASS
eplant,eplant_arabidopsis,arabidopsis,ABI3,FAIL
eplant,eplant_barley,barley,HORVU.MOREX.r3.1HG0000030,PASS
eplant,eplant_barley_legacy,barley,HORVU1Hr1G000010,PASS
eplant,eplant_camelina,camelina,Csa01g001040,PASS
eplant,eplant_cannabis,cannabis,AGQN03000001,PASS
eplant,eplant_eucalyptus,eucalyptus,Eucgr.A00001,PASS
eplant,eplant_maize,maize,GRMZM2G158252,PASS
eplant,eplant_medicago,medicago,Medtr8g043970,PASS
eplant,eplant_poplar,poplar,Potri.003G172600,PASS
eplant,eplant_potato,potato,PGSC0003DMG400000005,PASS
eplant,eplant_rice,rice,LOC_Os01g01080,PASS
eplant,eplant_soybean,soybean,Glyma.06G202300,PASS
eplant,eplant_sugarcane,sugarcane,Sh01_g000010,PASS
eplant,eplant_sunflower,sunflower,HanXRQChr12g0384141,FAIL
eplant,eplant_tomato,tomato,Solyc04g014530,PASS
eplant,eplant_wheat,wheat,TraesCS1A01G000100,PASS
eplant,eplant_willow,willow,SapurV1A.0035s0010,FAIL
